name,team,avg,g,pa,ab,r,h,2b,3b,hr,tb,rbi,sac,sf,xbh,go,ao,go/ao,gw rbi,bb/k,p/pa,isop,xr,gpa
나성범,NC,0.309,144,653,572,116,177,37,2,22,284,113,1,4,61,132,131,1.01,15,0.49,3.79,0.187,107.4,0.299
박석민,NC,0.307,126,506,427,77,131,20,0,32,247,104,2,4,52,98,107,0.92,9,0.59,4.14,0.272,92.1,0.326
손시헌,NC,0.305,110,403,341,36,104,21,2,5,144,39,10,1,28,90,100,0.9,6,0.79,3.76,0.117,54.2,0.283
이종욱,NC,0.305,134,517,453,73,138,24,4,5,185,57,4,5,33,124,123,1.01,3,0.74,4.2,0.104,70.6,0.271
이호준,NC,0.298,119,472,399,46,119,20,0,21,202,87,2,4,41,114,92,1.24,12,0.83,4.14,0.208,77.4,0.305
김종호,NC,0.295,93,137,122,26,36,2,0,0,38,7,1,0,2,40,16,2.5,1,0.47,3.91,0.016,14.6,0.243
이상호,NC,0.28,15,27,25,1,7,2,0,0,9,1,0,0,2,8,6,1.33,0,0,3.44,0.08,2.4,0.24
권희동,NC,0.268,14,47,41,4,11,0,0,1,14,9,0,0,1,9,12,0.75,2,0.56,4.55,0.073,5.4,0.248
김성욱,NC,0.265,130,348,306,60,81,15,1,15,143,51,7,2,31,79,84,0.94,9,0.47,3.91,0.203,44.6,0.267
김준완,NC,0.261,122,325,253,60,66,7,1,1,78,12,2,1,9,86,40,2.15,0,1.06,4.53,0.047,39.5,0.264
김태군,NC,0.232,134,395,340,37,79,15,0,1,97,30,20,4,16,123,98,1.26,2,0.5,3.54,0.053,27.5,0.203
지석훈,NC,0.219,141,394,351,34,77,14,0,9,118,54,6,6,23,106,83,1.28,2,0.24,3.96,0.117,33.7,0.209
용덕한,NC,0.212,88,116,104,16,22,3,0,2,31,7,2,1,5,29,33,0.88,0,0.38,3.71,0.087,7.7,0.197
도태훈,NC,0.167,6,7,6,1,1,0,0,0,1,0,0,0,0,1,2,0.5,0,0,3.29,0,0.4,0.17
조평호,NC,0.167,3,7,6,1,1,0,0,0,1,0,0,0,0,3,1,3,0,1,3.14,0,0,0.17
이재율,NC,0.154,32,13,13,9,2,0,0,0,2,0,0,0,0,5,3,1.67,0,0,3.23,0,1.1,0.108
강민국,NC,0.13,24,26,23,2,3,1,0,1,7,1,1,0,2,5,6,0.83,0,0.22,4.08,0.174,1.1,0.166
윤병호,NC,0.111,11,9,9,3,1,0,0,1,4,3,0,0,1,2,3,0.67,0,0,4.44,0.333,0.7,0.161
황윤호,NC,0.083,33,12,12,7,1,0,0,0,1,2,0,0,0,2,4,0.5,0,0,3.83,0,-0.4,0.058
강구성,NC,0,2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,-,0,0,4.67,0,-0.3,0
구창모,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김선규,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김진성,NC,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김학성,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
민성기,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
박민석,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
박세웅,NC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,3,0,-0.1,0
박준영,NC,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
배재환,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
원종현,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
이민호,NC,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
이재학,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
임정호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
임창민,NC,-,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
장현식,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
최금강,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
조성모,SK,0.5,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,-,0,0,4,0,0.4,0.35
나주환,SK,0.386,24,65,57,13,22,2,0,5,39,12,3,0,7,17,12,1.42,1,0.33,3.82,0.298,12,0.367
김동엽,SK,0.336,57,150,143,19,48,8,0,6,74,23,0,1,14,27,28,0.96,1,0.12,3.37,0.182,23.9,0.291
최정민,SK,0.329,88,177,155,29,51,4,1,0,57,11,6,1,5,37,20,1.85,0,0.17,3.64,0.039,22.7,0.266
김재현,SK,0.321,100,193,168,27,54,5,5,1,72,18,8,1,11,43,31,1.39,1,0.27,3.53,0.107,27,0.277
김성현,SK,0.319,138,530,479,66,153,28,0,8,205,65,5,7,36,154,142,1.08,4,0.89,3.29,0.109,71.4,0.272
정의윤,SK,0.311,144,616,576,68,179,32,1,27,294,100,0,5,60,153,173,0.88,10,0.33,3.48,0.2,93.5,0.284
박재상,SK,0.298,94,288,255,37,76,14,1,6,110,35,4,2,21,70,74,0.95,6,0.73,3.92,0.133,36.2,0.271
김강민,SK,0.298,115,422,366,59,109,21,0,10,160,47,10,2,31,88,82,1.07,7,0.36,3.83,0.139,59.3,0.276
최정용,SK,0.296,48,61,54,10,16,1,1,0,19,2,4,0,2,13,9,1.44,0,0.19,3.7,0.056,6.4,0.238
이재원,SK,0.29,130,472,411,49,119,15,0,15,179,64,2,7,30,99,124,0.8,4,0.57,3.66,0.146,63.1,0.273
최정,SK,0.288,141,606,500,106,144,24,1,40,290,106,0,6,65,87,149,0.58,6,0.61,4.04,0.292,115.7,0.326
고메즈,SK,0.283,117,492,456,74,129,31,0,21,223,62,2,4,52,107,137,0.78,4,0.29,3.6,0.206,68.8,0.268
한동민,SK,0.278,6,20,18,3,5,0,0,0,5,0,0,0,0,2,6,0.33,0,0.2,3.5,0,2.2,0.227
박정권,SK,0.277,125,468,422,59,117,17,3,18,194,59,2,4,38,101,109,0.93,5,0.35,3.81,0.182,65.8,0.267
박승욱,SK,0.276,36,103,87,19,24,4,1,3,39,13,4,1,8,16,20,0.8,1,0.32,3.93,0.172,14.7,0.271
이명기,SK,0.272,99,326,287,29,78,7,4,1,96,22,10,2,12,123,51,2.41,0,0.62,3.87,0.063,33.7,0.233
최승준,SK,0.266,76,231,199,31,53,5,0,19,115,42,0,1,24,38,43,0.88,8,0.42,4.19,0.312,40.8,0.308
김민식,SK,0.257,88,170,144,17,37,9,0,2,52,14,3,0,11,29,40,0.73,2,0.55,4.12,0.104,19.5,0.252
조동화,SK,0.238,76,172,143,24,34,5,0,0,39,16,8,2,5,54,40,1.35,1,0.88,4.21,0.035,15.4,0.214
김기현,SK,0.188,14,17,16,3,3,1,0,0,4,0,0,0,1,4,3,1.33,0,0.17,4.06,0.063,0.8,0.168
이진석,SK,0.186,41,45,43,6,8,1,1,0,11,2,0,0,2,8,8,1,0,0.11,4.27,0.07,1.8,0.164
이현석,SK,0.182,11,11,11,1,2,0,0,0,2,0,0,0,0,1,0,-,0,0,4.55,0,-0.2,0.127
임석진,SK,0.182,11,12,11,3,2,0,0,0,2,0,0,0,0,2,1,2,0,0.17,3.83,0,0.5,0.158
김승회,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김주한,SK,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김태훈,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
라라,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
문광은,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
박민호,SK,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
박정배,SK,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
박희수,SK,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,4,0,-0.1,0
신재웅,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
유서준,SK,0,8,7,7,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,4.14,0,-0.7,0
이건욱,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
이대수,SK,0,14,15,12,0,0,0,0,0,0,2,0,1,0,7,3,2.33,0,0.67,3.8,0,-0.1,0.06
이정담,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
전유수,SK,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
정영일,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
조한욱,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
채병용,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
