name,team,avg,g,pa,ab,r,h,2b,3b,hr,tb,rbi,sac,sf,xbh,go,ao,go/ao,gw rbi,bb/k,p/pa,isop,xr,gpa
정범모,한화,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.25,0,-0.4,0
정우람,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
정현석,한화,0,3,8,8,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,4,0,-1.5,0
지성준,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
최원준,KIA,0.458,14,25,24,5,11,1,0,1,15,4,1,0,2,6,4,1.5,0,0,3.44,0.167,5.4,0.362
황대인,KIA,0.429,4,7,7,1,3,2,0,1,8,3,0,0,3,1,0,-,0,0,3.86,0.714,2.5,0.479
김선빈,KIA,0.36,6,27,25,3,9,2,1,0,13,0,1,0,3,8,5,1.6,0,0.33,3.37,0.16,3.9,0.303
김주찬,KIA,0.346,130,555,511,97,177,37,3,23,289,101,1,6,63,137,135,1.01,12,0.44,3.56,0.219,98.6,0.315
필,KIA,0.313,132,544,499,71,156,37,1,20,255,86,0,7,58,140,140,1,9,0.47,3.55,0.198,84.5,0.288
이범호,KIA,0.31,138,560,484,93,150,23,0,33,272,108,0,7,56,104,180,0.58,11,1.05,3.8,0.252,100.3,0.316
신종길,KIA,0.31,75,240,213,34,66,8,3,1,83,12,1,0,12,57,41,1.39,1,0.41,3.83,0.08,32.2,0.271
노수광,KIA,0.309,77,238,207,43,64,4,2,4,84,30,10,0,10,52,45,1.16,2,0.43,3.95,0.097,33.5,0.269
나지완,KIA,0.308,118,486,380,84,117,21,2,25,217,90,0,4,48,62,115,0.54,8,0.94,4.18,0.263,96.5,0.346
김다원,KIA,0.302,25,47,43,3,13,2,0,1,18,6,0,0,3,9,6,1.5,0,0.13,4.13,0.116,6.1,0.268
윤정우,KIA,0.299,46,82,67,20,20,5,0,2,31,13,2,1,7,27,6,4.5,0,0.33,3.89,0.164,13.2,0.296
서동욱,KIA,0.292,124,485,411,73,120,30,3,16,204,67,6,3,49,84,102,0.82,6,0.56,4.08,0.204,76.9,0.298
김주형,KIA,0.281,135,387,345,43,97,16,1,19,172,49,1,1,36,82,112,0.73,2,0.62,3.75,0.217,57.9,0.285
강한울,KIA,0.272,104,322,298,36,81,13,3,0,100,27,9,0,16,100,71,1.41,3,0.33,3.89,0.064,30.1,0.222
김호령,KIA,0.267,124,514,453,72,121,18,3,8,169,41,13,2,29,114,116,0.98,1,0.35,3.85,0.106,57.4,0.243
이홍구,KIA,0.266,106,273,241,27,64,16,2,9,111,45,3,6,27,49,68,0.72,4,0.29,3.94,0.195,36.5,0.26
오준혁,KIA,0.265,47,144,132,18,35,8,4,2,57,15,2,0,14,27,32,0.84,0,0.24,3.94,0.167,16.5,0.251
안치홍,KIA,0.222,10,43,36,3,8,2,0,0,10,1,1,1,2,11,10,1.1,0,0.63,4.26,0.056,3.2,0.209
김원섭,KIA,0.219,37,90,73,10,16,5,0,0,21,12,1,1,5,28,14,2,2,0.94,4.14,0.068,8.8,0.229
고영우,KIA,0.214,63,81,70,18,15,3,0,0,18,4,1,0,3,21,19,1.11,0,0.47,4.05,0.043,6.1,0.205
