name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
김태훈,SK,4.3,15,0,1,0,0,0,14 2/3,15,1,12,1,9,7,7,1.84,4.3,2,0,0,2,0,0,1,26,8,3.25
채병용,SK,4.3,68,6,3,2,9,0.667,83 2/3,77,9,29,3,67,43,40,1.27,4.3,0,0,6,14,17,0,11,79,87,0.91
서진용,SK,4.73,25,0,0,0,3,-,26 2/3,26,3,13,2,30,16,14,1.46,4.73,0,0,0,8,4,0,1,24,24,1
정영일,SK,4.74,21,1,0,0,1,1,24 2/3,16,3,12,3,18,13,13,1.14,4.74,0,0,1,10,0,0,3,24,26,0.92
윤희상,SK,4.84,23,9,6,0,0,0.6,122 2/3,143,18,44,6,74,69,66,1.52,4.84,22,9,0,0,0,0,13,142,125,1.14
박민호,SK,4.91,32,0,1,0,3,0,36 2/3,40,4,9,4,18,20,20,1.34,4.91,0,0,0,13,2,0,2,50,36,1.39
이정담,SK,5.06,6,0,0,0,0,-,5 1/3,6,1,2,0,0,3,3,1.5,5.06,0,0,0,4,0,0,0,8,8,1
전유수,SK,5.13,46,2,4,0,3,0.333,54 1/3,67,6,29,0,45,38,31,1.77,5.13,0,0,2,10,4,0,7,57,54,1.06
세든,SK,5.37,12,5,5,0,0,0.5,62,76,8,17,1,43,52,37,1.5,5.37,12,5,0,0,0,0,4,71,70,1.01
박정배,SK,5.4,49,2,3,2,11,0.4,51 2/3,55,6,17,3,26,34,31,1.39,5.4,0,0,2,14,16,0,4,60,57,1.05
신재웅,SK,5.5,35,0,1,0,4,0,18,16,4,17,3,17,12,11,1.83,5.5,0,0,0,2,8,0,1,21,15,1.4
박종훈,SK,5.66,28,8,13,0,0,0.381,140,141,17,91,23,104,102,88,1.66,5.66,28,8,0,0,0,0,14,168,116,1.45
김승회,SK,5.92,23,1,1,0,4,0.5,24 1/3,29,4,9,0,19,16,16,1.56,5.92,0,0,1,4,4,0,5,25,22,1.14
문승원,SK,6.64,20,4,4,0,0,0.5,63 2/3,86,12,33,3,49,52,47,1.87,6.64,12,4,0,3,0,0,10,72,59,1.22
라라,SK,6.7,17,2,6,0,1,0.25,48 1/3,66,5,30,1,40,46,36,1.99,6.7,9,1,1,1,0,0,7,59,35,1.69
문광은,SK,9.53,17,1,1,0,1,0.5,17,30,6,7,0,13,18,18,2.18,9.53,0,0,1,5,2,0,2,22,13,1.69
임준혁,SK,10.06,12,2,6,0,0,0.25,34,57,6,10,2,20,41,38,1.97,10.06,11,2,0,0,0,0,3,31,49,0.63
이건욱,SK,27,1,0,0,0,0,-,2/3,2,0,0,0,1,2,2,3,27,0,0,0,0,0,0,0,0,1,0
