name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
플란데,삼성,7.6,13,2,6,0,0,0.25,68 2/3,92,13,33,1,56,66,58,1.82,7.6,13,2,0,0,0,0,4,86,59,1.46
김동호,삼성,7.64,33,0,1,0,2,0,33,46,5,14,3,21,28,28,1.82,7.64,0,0,0,9,2,0,7,44,26,1.69
벨레스터,삼성,8.03,3,0,3,0,0,0,12 1/3,20,1,12,0,5,14,11,2.59,8.03,3,0,0,0,0,0,2,14,15,0.93
레온,삼성,11.25,2,0,1,0,0,0,8,16,2,1,1,7,10,10,2.13,11.25,2,0,0,0,0,0,1,4,9,0.44
최충연,삼성,12.91,3,0,2,0,0,0,7 2/3,11,2,11,0,6,11,11,2.87,12.91,3,0,0,0,0,0,0,14,3,4.67
조현근,삼성,13.5,3,0,0,0,0,-,5 1/3,12,2,3,1,5,8,8,2.81,13.5,0,0,0,1,0,0,0,3,7,0.43
임현준,삼성,36,2,0,0,0,0,-,1,4,1,0,1,0,4,4,4,36,0,0,0,1,0,0,0,2,1,2
정우람,한화,3.33,61,8,5,16,1,0.615,81,64,7,26,4,85,33,30,1.11,3.33,0,0,8,41,24,2,1,58,84,0.69
권혁,한화,3.87,66,6,2,3,13,0.75,95 1/3,93,5,42,7,77,45,41,1.42,3.87,0,0,6,14,15,0,10,80,109,0.73
로저스,한화,4.3,6,2,3,0,0,0.4,37 2/3,42,3,12,2,24,22,18,1.43,4.3,6,2,0,1,0,0,2,49,29,1.69
장민재,한화,4.68,48,6,6,0,1,0.5,119 1/3,133,15,67,4,92,66,62,1.68,4.68,13,5,1,9,1,0,15,140,104,1.35
정대훈,한화,4.89,36,1,0,0,0,1,38 2/3,47,3,10,1,26,24,21,1.47,4.89,0,0,1,12,0,0,2,43,42,1.02
이태양,한화,4.97,29,5,8,1,0,0.385,112 1/3,128,15,62,3,60,66,62,1.69,4.97,25,5,0,1,1,0,16,120,132,0.91
송창식,한화,4.98,66,8,5,0,8,0.615,97 2/3,97,10,45,10,77,61,54,1.45,4.98,1,0,8,4,6,0,6,74,130,0.57
송신영,한화,5.02,11,0,1,0,0,0,14 1/3,24,1,2,1,7,8,8,1.81,5.02,3,0,0,4,0,0,3,16,15,1.07
송창현,한화,5.06,11,0,0,0,0,-,10 2/3,9,0,6,0,11,6,6,1.41,5.06,0,0,0,1,0,0,0,9,11,0.82
이동걸,한화,5.4,5,0,0,0,0,-,5,6,2,2,0,1,3,3,1.6,5.4,0,0,0,2,0,0,0,8,6,1.33
박정진,한화,5.57,77,4,4,0,6,0.5,84,96,11,33,2,85,58,52,1.54,5.57,1,0,4,7,7,0,10,76,75,1.01
심수창,한화,5.96,66,5,5,2,6,0.5,113 1/3,138,14,58,4,76,86,75,1.73,5.96,10,1,4,10,6,0,13,122,119,1.03
이재우,한화,6.04,15,0,1,0,0,0,25 1/3,34,9,14,3,18,20,17,1.89,6.04,3,0,0,6,0,0,4,21,31,0.68
서캠프,한화,6.31,17,2,5,1,0,0.286,41 1/3,54,5,17,5,36,32,29,1.72,6.31,8,0,2,2,2,0,0,35,45,0.78
송은범,한화,6.42,30,2,11,0,1,0.154,122,159,13,49,5,85,95,87,1.7,6.42,27,2,0,0,0,0,9,155,104,1.49
카스티요,한화,6.43,20,7,4,0,0,0.636,84,106,7,40,10,60,62,60,1.74,6.43,15,5,2,1,1,0,9,95,79,1.2
윤규진,한화,6.82,41,7,7,1,3,0.5,100 1/3,125,19,54,8,74,78,76,1.78,6.82,16,4,3,4,4,0,10,84,118,0.71
정재원,한화,7.59,14,0,0,0,0,-,21 1/3,28,2,9,1,16,19,18,1.73,7.59,0,0,0,9,0,0,1,28,20,1.4
김경태,한화,7.71,10,0,0,0,0,-,11 2/3,17,2,9,0,12,10,10,2.23,7.71,0,0,0,5,0,0,1,12,8,1.5
마에스트리,한화,9.42,9,2,2,0,0,0.5,28 2/3,37,4,34,1,23,37,30,2.48,9.42,8,2,0,0,0,0,2,27,32,0.84
김범수,한화,9.53,5,1,0,0,0,1,5 2/3,6,1,6,1,5,6,6,2.12,9.53,0,0,1,3,0,0,0,3,9,0.33
김용주,한화,9.77,17,0,2,0,0,0,15 2/3,19,2,15,0,12,18,17,2.17,9.77,2,0,0,4,0,0,2,14,18,0.78
김재영,한화,10.32,11,0,0,0,0,-,11 1/3,18,2,8,3,4,14,13,2.29,10.32,2,0,0,2,0,0,3,12,13,0.92
김민우,한화,15.83,5,0,3,0,0,0,9 2/3,21,2,8,0,7,18,17,3,15.83,3,0,0,1,0,0,0,5,14,0.36
안영명,한화,20.25,2,0,1,0,0,0,2 2/3,9,0,4,0,1,10,6,4.88,20.25,1,0,0,0,0,0,0,3,5,0.6
황재규,한화,24.55,2,0,0,0,0,-,3 2/3,10,1,2,1,2,11,10,3.27,24.55,0,0,0,1,0,0,0,3,6,0.5
윤석민,KIA,3.19,16,2,2,1,6,0.5,31,36,1,8,5,26,14,11,1.42,3.19,3,1,1,5,7,0,3,32,32,1
헥터,KIA,3.4,31,15,5,0,0,0.75,206 2/3,211,7,51,6,139,88,78,1.27,3.4,31,15,0,3,0,0,14,225,223,1.01
최영필,KIA,3.61,54,4,3,2,10,0.571,57 1/3,74,6,8,3,54,26,23,1.43,3.61,3,0,4,9,14,0,4,45,64,0.7
양현종,KIA,3.68,31,10,12,0,0,0.455,200 1/3,191,19,77,2,146,96,82,1.34,3.68,31,10,0,3,0,0,21,213,205,1.04
임창용,KIA,4.37,34,3,3,15,0,0.5,35,45,5,10,1,38,18,17,1.57,4.37,0,0,3,25,21,2,3,25,38,0.66
김진우,KIA,4.8,11,2,1,0,2,0.667,15,16,3,5,2,10,8,8,1.4,4.8,0,0,2,1,2,0,1,19,13,1.46
김명찬,KIA,4.85,11,0,0,0,1,-,13,17,1,4,1,10,7,7,1.62,4.85,0,0,0,4,0,0,1,20,7,2.86
한승혁,KIA,4.86,36,3,2,1,9,0.6,33 1/3,36,3,19,2,31,21,18,1.65,4.86,0,0,3,7,8,1,2,26,35,0.74
홍건희,KIA,4.98,50,4,4,4,5,0.5,90 1/3,103,10,41,1,83,53,50,1.59,4.98,9,3,1,16,15,0,5,72,104,0.69
김광수,KIA,5.16,54,2,6,7,14,0.25,52 1/3,67,5,22,0,39,31,30,1.7,5.16,0,0,2,13,25,1,7,48,62,0.77
지크,KIA,5.27,30,10,13,0,0,0.435,152,188,16,68,5,125,104,89,1.68,5.27,29,10,0,1,0,0,16,155,155,1
김윤동,KIA,5.43,31,0,3,2,2,0,53,48,9,38,3,47,33,32,1.62,5.43,5,0,0,10,5,1,3,55,50,1.1
정동현,KIA,6,9,1,2,0,0,0.333,18,20,2,6,2,4,13,12,1.44,6,3,1,0,2,1,0,2,24,22,1.09
임기준,KIA,6.03,19,0,2,1,1,0,31 1/3,37,2,33,4,15,23,21,2.23,6.03,6,0,0,3,1,0,3,31,35,0.89
